City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
90,aklavik,68.2191,-135.0107,42.8,38,24,3.44,CA,1619757773
91,tiksi,71.6872,128.8694,32.76,84,83,4.21,RU,1619757686
92,saint-philippe,-21.3585,55.7679,77.0,78,45,9.22,RE,1619757690
93,kaitangata,-46.2817,169.8464,53.01,58,36,8.01,NZ,1619757804
94,ola,59.5833,151.2833,37.78,64,34,3.22,RU,1619757805
95,tasiilaq,65.6145,-37.6368,28.4,93,99,1.14,GL,1619757721
96,viedma,-40.8135,-62.9967,65.28,63,97,17.54,AR,1619757519
97,bhimunipatnam,17.8833,83.4333,87.8,74,40,4.61,IN,1619757806
98,hobart,-42.8794,147.3294,68.0,55,20,3.44,AU,1619757706
99,oancea,45.9167,28.1,52.29,84,85,9.26,RO,1619757806
100,zhangye,38.9342,100.4517,77.0,10,0,12.12,CN,1619757548
101,siedlce,52.1677,22.2901,51.01,83,100,7.23,PL,1619757808
102,faanui,-16.4833,-151.75,81.41,70,98,2.89,PF,1619757808
103,noshiro,40.2039,140.0242,50.0,87,75,13.8,JP,1619757808
104,kavieng,-2.5744,150.7967,84.79,68,40,8.84,PG,1619757756
105,luancheng,37.8792,114.6517,60.8,44,0,8.95,CN,1619757809
106,saint-pierre,-21.3393,55.4781,77.0,78,1,9.22,RE,1619757688
107,salalah,17.0151,54.0924,84.2,79,75,8.05,OM,1619757694
108,ossora,59.2353,163.0719,34.86,99,100,1.81,RU,1619757810
109,sorong,-0.8833,131.25,83.61,70,90,3.2,ID,1619757810
110,mantua,45.1667,10.7833,57.99,95,91,1.01,IT,1619757811
111,kuytun,54.3419,101.5036,40.87,78,100,13.35,RU,1619757811
112,dzaoudzi,-12.7887,45.2699,82.4,83,0,6.91,YT,1619757812
113,hambantota,6.1241,81.1185,86.0,84,75,3.44,LK,1619757812
114,yellowknife,62.456,-114.3525,30.2,59,75,11.5,CA,1619757689
115,wattegama,6.7989,81.4808,86.0,84,75,3.44,LK,1619757813
116,senanga,-16.1167,23.2667,63.54,79,22,3.04,ZM,1619757813
117,butaritari,3.0707,172.7902,83.77,72,99,10.09,KI,1619757696
118,ahar,38.4774,47.0699,60.42,65,41,4.47,IR,1619757814
119,leningradskiy,69.3833,178.4167,23.02,85,92,17.25,RU,1619757757
120,nikolskoye,59.7035,30.7861,41.0,69,0,2.24,RU,1619757701
121,upata,8.0086,-62.3989,70.34,87,100,3.83,VE,1619757814
122,hithadhoo,-0.6,73.0833,84.11,70,52,5.97,MV,1619757707
123,salto de agua,17.6167,-92.3667,89.01,41,89,3.36,MX,1619757815
124,puerto ayora,-0.7393,-90.3518,75.24,84,51,8.1,EC,1619757730
125,longyearbyen,78.2186,15.6401,21.2,53,40,9.22,SJ,1619757815
126,codrington,-38.2667,141.9667,74.8,34,0,10.33,AU,1619757799
127,goma,-1.6792,29.2228,63.34,87,100,1.88,CD,1619757816
128,san cristobal,7.7669,-72.225,66.06,99,100,1.54,VE,1619757814
129,katsuura,35.1333,140.3,77.0,53,20,18.41,JP,1619757760
130,bilma,18.6853,12.9164,80.87,8,0,6.98,NE,1619757817
131,strezhevoy,60.7333,77.5889,39.2,81,75,11.18,RU,1619757817
132,coquimbo,-29.9533,-71.3436,55.4,88,90,2.3,CL,1619757817
133,chuy,-33.6971,-53.4616,54.77,85,0,4.72,UY,1619757777
134,dargaville,-35.9333,173.8833,62.38,75,41,7.14,NZ,1619757818
135,sangar,63.9242,127.4739,36.61,85,63,3.0,RU,1619757806
136,mangrol,21.1167,70.1167,86.95,52,93,5.59,IN,1619757818
137,belem,-1.4558,-48.5044,75.2,100,75,1.14,BR,1619757819
138,kodiak,57.79,-152.4072,44.6,76,40,4.61,US,1619757711
139,mahebourg,-20.4081,57.7,78.8,83,40,12.66,MU,1619757741
140,bukene,-4.2333,32.8833,65.44,88,67,7.18,TZ,1619757820
141,tahe,52.3333,124.7333,54.39,29,73,10.54,CN,1619757820
142,college,64.8569,-147.8028,39.2,81,75,8.05,US,1619757460
143,manggar,-2.8833,108.2667,87.33,60,69,8.23,ID,1619757720
144,butembo,0.15,29.2833,60.75,90,98,1.39,CD,1619757821
145,tsabong,-26.0217,22.401,57.33,78,2,8.21,BW,1619757821
146,hualmay,-11.0964,-77.6139,65.84,90,0,8.21,PE,1619757822
147,bambanglipuro,-7.95,110.2833,84.27,70,85,8.23,ID,1619757822
148,pevek,69.7008,170.3133,21.83,84,100,10.25,RU,1619757806
149,belaya gora,68.5333,146.4167,31.12,88,93,5.35,RU,1619757746
150,ribeira grande,38.5167,-28.7,57.51,65,100,7.34,PT,1619757736
151,shellbrook,53.2168,-106.4011,30.2,40,40,3.44,CA,1619757759
152,sumbe,-11.2061,13.8437,76.95,85,99,2.55,AO,1619757824
153,olafsvik,64.8945,-23.7142,39.79,77,72,5.68,IS,1619757825
154,veraval,20.9,70.3667,88.02,50,93,7.2,IN,1619757825
155,kaffrine,14.1059,-15.5508,72.84,39,18,5.82,SN,1619757826
156,pau brasil,-15.4642,-39.6511,67.78,99,87,2.15,BR,1619757826
157,nouadhibou,20.931,-17.0347,64.4,94,0,13.8,MR,1619757827
158,ningxiang,37.34,111.2052,62.62,18,30,29.19,CN,1619757827
159,mende,44.6667,3.5,39.9,98,100,4.88,FR,1619757827
160,chokurdakh,70.6333,147.9167,19.69,87,10,5.82,RU,1619757686
161,cidreira,-30.1811,-50.2056,64.35,80,1,7.61,BR,1619757711
162,jalu,29.0331,21.5482,78.96,16,0,9.46,LY,1619757828
163,hounde,11.5,-3.5167,82.06,57,8,7.83,BF,1619757828
164,dudinka,69.4058,86.1778,30.2,92,69,9.44,RU,1619757829
165,port lincoln,-34.7333,135.8667,73.71,40,76,10.76,AU,1619757734
166,acajutla,13.5928,-89.8275,72.0,86,4,3.0,SV,1619757813
167,oyama,36.3,139.8,78.01,19,20,8.05,JP,1619757829
168,strathroy,42.9551,-81.6223,46.99,85,88,5.01,CA,1619757830
169,hamilton,39.1834,-84.5333,54.0,82,1,6.91,US,1619757723
170,timizart,36.8,4.2667,54.97,67,72,2.33,DZ,1619757830
171,cherskiy,68.75,161.3,20.43,89,65,11.12,RU,1619757758
172,joshimath,30.5667,79.5667,70.97,49,17,6.02,IN,1619757831
173,rawson,-43.3002,-65.1023,64.0,46,97,6.93,AR,1619757465
174,dongsheng,39.8161,109.9776,51.82,27,5,29.59,CN,1619757831
175,buin,-33.7333,-70.75,62.01,93,63,6.91,CL,1619757737
176,byron bay,-28.65,153.6167,71.6,78,75,9.22,AU,1619757715
177,houston,29.7633,-95.3633,78.01,95,93,4.0,US,1619757832
178,hare bay,48.8499,-54.0148,41.0,87,100,9.22,CA,1619757813
179,casian,11.035,119.7136,83.53,69,13,7.18,PH,1619757834
180,muli,2.9167,73.5667,83.32,69,19,0.49,MV,1619757834
181,ilulissat,69.2167,-51.1,30.2,80,100,4.16,GL,1619757739
182,manaquiri,-3.3167,-60.35,78.8,83,75,5.75,BR,1619757836
183,narsaq,60.9167,-46.05,37.4,81,75,4.32,GL,1619757727
184,kasongo-lunda,-6.4667,16.8167,69.42,97,100,0.94,CD,1619757836
185,flin flon,54.7682,-101.865,27.72,62,2,0.69,CA,1619757837
186,sikasso,10.9167,-7.0,81.52,57,81,5.68,ML,1619757837
187,karasjok,69.4719,25.5112,26.6,80,75,21.85,NO,1619757837
188,omboue,-1.5746,9.2618,75.24,92,100,4.74,GA,1619757770
189,takoradi,4.8845,-1.7554,79.38,82,86,2.26,GH,1619757838
190,santa isabel do rio negro,-0.4139,-65.0192,70.95,99,90,1.81,BR,1619757838
191,egvekinot,66.3167,-179.1667,24.03,84,52,2.08,RU,1619757795
192,nenjiang,49.1833,125.2167,48.13,62,98,8.66,CN,1619757839
193,bardiyah,31.7561,25.0865,76.71,28,31,9.33,LY,1619757840
194,guadalupe y calvo,26.1,-106.9667,40.57,58,2,5.61,MX,1619757840
195,nanortalik,60.1432,-45.2371,36.19,84,10,7.38,GL,1619757693
196,sambava,-14.2667,50.1667,79.39,75,7,9.62,MG,1619757840
197,nome,64.5011,-165.4064,26.6,68,75,13.8,US,1619757729
198,laguna,38.421,-121.4238,71.6,37,1,6.91,US,1619757727
199,bonavista,48.6499,-53.1147,39.2,87,100,9.22,CA,1619757841
200,grand gaube,-20.0064,57.6608,80.01,82,16,5.99,MU,1619757843
201,san juan,-31.5375,-68.5364,64.8,48,5,5.32,AR,1619757547
202,hilo,19.7297,-155.09,80.6,61,90,6.91,US,1619757402
203,zhigansk,66.7697,123.3711,33.24,99,99,6.15,RU,1619757719
204,ostrovnoy,68.0531,39.5131,29.1,86,100,18.1,RU,1619757844
205,lompoc,34.6391,-120.4579,53.6,82,13,5.75,US,1619757775
206,saskylakh,71.9167,114.0833,34.03,99,100,7.11,RU,1619757739
207,gomel,52.4345,30.9754,55.0,93,75,13.42,BY,1619757845
208,luderitz,-26.6481,15.1594,54.3,76,0,18.54,NA,1619757687
209,mangan,27.5167,88.5333,83.8,34,61,7.14,IN,1619757845
210,atherton,53.5237,-2.4935,37.0,85,30,2.46,GB,1619757809
211,saint george,37.1041,-113.5841,75.2,17,1,4.27,US,1619757661
212,taltal,-25.4,-70.4833,61.32,87,7,1.21,CL,1619757819
213,eureka,40.8021,-124.1637,52.0,86,100,3.65,US,1619757830
214,sawakin,19.1059,37.3321,83.71,52,97,8.95,SD,1619757847
215,myaundzha,63.0494,147.1858,33.01,90,99,2.13,RU,1619757847
216,akil,20.25,-89.35,76.62,75,25,8.03,MX,1619757847
217,dwarka,22.2394,68.9678,85.23,60,62,8.43,IN,1619757777
218,langarud,37.197,50.1535,66.2,88,75,3.2,IR,1619757848
219,mackay,-21.15,149.2,75.2,73,31,18.41,AU,1619757848
220,opuwo,-18.0607,13.84,62.69,56,60,3.38,NA,1619757794
221,rincon,32.296,-81.2354,73.4,68,40,5.75,US,1619757849
222,doctor juan leon mallorquin,-25.4,-55.2667,62.6,67,0,3.44,PY,1619757849
223,poum,-20.2333,164.0167,77.2,60,88,13.87,NC,1619757743
224,upington,-28.4478,21.2561,48.2,87,0,5.75,ZA,1619757850
225,goundam,16.4145,-3.6708,89.8,23,81,3.94,ML,1619757850
226,vao,-22.6667,167.4833,75.13,56,97,20.36,NC,1619757851
227,pareora,-44.4871,171.2132,55.0,93,98,13.42,NZ,1619757851
228,kibaha,-6.7667,38.9167,77.0,88,75,8.05,TZ,1619757852
229,santa cruz,-17.8,-63.1667,62.6,77,1,4.61,BO,1619757816
230,san jose iturbide,21.0,-100.3833,66.2,59,75,13.8,MX,1619757852
231,avera,33.194,-82.5271,71.6,68,1,9.22,US,1619757609
232,faya,18.3851,42.4509,62.6,72,20,5.75,SA,1619757784
233,anori,-3.7728,-61.6442,72.14,98,71,1.07,BR,1619757853
234,mar del plata,-38.0023,-57.5575,60.01,88,0,6.91,AR,1619757696
235,peremyshlyany,49.6652,24.5585,51.8,87,0,2.24,UA,1619757854
236,jagannathpur,22.2333,85.65,100.44,19,5,8.75,IN,1619757854
237,ardesen,41.1911,40.9875,62.6,72,0,4.61,TR,1619757855
238,suntar,62.1444,117.6319,41.72,56,94,5.61,RU,1619757855
239,iqaluit,63.7506,-68.5145,33.8,93,90,4.61,CA,1619757772
240,atasu,48.6814,71.6433,56.28,58,100,15.21,KZ,1619757706
241,umea,63.8284,20.2597,37.0,69,0,12.66,SE,1619757856
242,mahon,39.8885,4.2658,59.0,94,75,5.75,ES,1619757856
243,brae,60.3964,-1.353,37.4,87,73,8.05,GB,1619757812
244,lithgow,-33.4833,150.15,60.01,97,1,6.15,AU,1619757857
245,chicama,-7.8447,-79.1469,68.02,82,1,5.61,PE,1619757858
246,goderich,43.7501,-81.7165,44.6,93,90,6.91,CA,1619757858
247,tyukhtet,56.5389,89.3011,50.41,57,64,16.75,RU,1619757858
248,fomboni,-12.28,43.7425,81.43,74,9,1.99,KM,1619757859
249,safita,34.8205,36.1153,75.0,59,40,2.3,SY,1619757859
250,caravelas,-17.7125,-39.2481,76.28,69,100,10.42,BR,1619757861
251,shwebo,22.5667,95.7,97.84,34,3,7.54,MM,1619757861
252,soddy-daisy,35.2359,-85.1908,66.99,67,81,5.19,US,1619757862
253,celestun,20.8667,-90.4,82.06,60,9,16.82,MX,1619757862
254,naze,28.3667,129.4833,77.0,61,20,10.36,JP,1619757863
255,saint anthony,45.0205,-93.218,57.2,38,1,9.22,US,1619757863
256,nishihara,26.1842,127.7558,75.2,69,0,10.36,JP,1619757853
257,krasnoselkup,65.7,82.4667,34.14,99,100,17.72,RU,1619757864
258,matay,28.419,30.7792,79.83,18,0,8.5,EG,1619757864
259,archidona,37.0965,-4.3887,54.0,83,66,3.38,ES,1619757864
260,sao joao da barra,-21.6403,-41.0511,66.58,87,56,12.03,BR,1619757720
261,richards bay,-28.783,32.0377,68.47,88,100,17.18,ZA,1619757860
262,amazar,53.858,120.875,47.82,56,92,6.96,RU,1619757865
263,andenes,69.3143,16.1194,28.4,80,75,13.8,NO,1619757866
264,isangel,-19.55,169.2667,76.64,74,85,17.74,VU,1619757866
265,porto velho,-8.7619,-63.9039,77.0,83,40,4.61,BR,1619757866
266,megion,61.0296,76.1136,39.2,81,75,11.18,RU,1619757845
267,alexandria,31.2156,29.9553,66.2,82,0,9.22,EG,1619757867
268,shache,38.4167,77.2406,81.93,8,0,2.53,CN,1619757751
269,itarema,-2.9248,-39.9167,75.4,88,100,6.76,BR,1619757815
270,hasaki,35.7333,140.8333,79.0,64,20,12.66,JP,1619757550
271,kahului,20.8947,-156.47,77.0,83,40,12.66,US,1619757785
272,torbay,47.6666,-52.7314,36.0,93,1,6.91,CA,1619757737
273,malaya purga,56.5567,53.0043,42.01,67,15,4.0,RU,1619757868
274,malakal,9.5334,31.6605,78.78,64,95,3.74,SS,1619757868
275,kumbo,6.2,10.6667,62.73,68,98,1.23,CM,1619757869
276,jaszkiser,47.45,20.2167,55.4,94,0,9.22,HU,1619757869
277,nisia floresta,-6.0911,-35.2086,75.2,94,20,6.91,BR,1619757870
278,bitung,1.4451,125.1824,82.4,83,40,4.61,ID,1619757870
279,kruisfontein,-34.0033,24.7314,55.0,95,85,1.01,ZA,1619757726
280,ashqelon,31.6693,34.5715,77.0,77,0,3.44,IL,1619757870
281,hammerfest,70.6634,23.6821,24.8,74,75,11.5,NO,1619757797
282,klaksvik,62.2266,-6.589,35.6,75,90,1.14,FO,1619757689
283,yazman,29.1212,71.7446,99.14,16,92,6.82,PK,1619757871
284,longyan,25.1072,117.0225,84.67,28,36,4.61,CN,1619757872
285,lakhipur,26.0299,90.3041,98.13,24,3,9.1,IN,1619757872
286,kuala terengganu,5.3302,103.1408,89.6,66,40,5.75,MY,1619757872
287,fairbanks,64.8378,-147.7164,39.2,87,90,14.97,US,1619757731
288,shimoda,34.6667,138.95,72.0,56,20,20.71,JP,1619757873
289,russell,32.3502,-85.1999,71.6,88,75,4.9,US,1619757820
290,kilindoni,-7.9139,39.6668,79.0,83,100,11.05,TZ,1619757873
291,jeremie,18.65,-74.1167,75.72,82,27,5.01,HT,1619757874
292,san patricio,28.017,-97.5169,75.99,88,90,8.05,US,1619757726
293,severobaykalsk,55.65,109.3167,32.92,70,21,4.61,RU,1619757875
294,praia,14.9215,-23.5087,69.8,78,20,12.66,CV,1619757817
295,krasnyy chikoy,50.3643,108.7512,46.47,33,58,6.42,RU,1619757875
296,geraldton,-28.7667,114.6,71.6,43,90,14.97,AU,1619757742
297,shizukuishi,39.6833,140.9833,53.6,66,75,4.61,JP,1619757876
298,ulaanbaatar,47.9077,106.8832,41.0,48,40,17.9,MN,1619757600
299,lasa,46.6166,10.7002,53.01,93,75,3.44,IT,1619757877
300,srednekolymsk,67.45,153.6833,30.31,84,98,8.63,RU,1619757878
301,cap malheureux,-19.9842,57.6142,80.01,83,14,8.01,MU,1619757879
302,ayagoz,47.9714,80.4392,69.15,48,75,12.64,KZ,1619757676
303,zima,53.9202,102.0442,43.54,70,98,11.5,RU,1619757879
304,asau,46.4333,26.4,54.0,55,37,3.76,RO,1619757880
305,weyburn,49.6668,-103.8511,44.6,42,93,5.75,CA,1619757718
306,solnechnyy,50.7214,136.6319,38.3,69,92,9.91,RU,1619757880
307,verkhnevilyuysk,63.4453,120.3167,38.79,65,100,7.07,RU,1619757881
308,fort nelson,58.8053,-122.7002,42.8,70,75,2.3,CA,1619757790
309,nakhon thai,17.1006,100.8374,88.0,70,40,3.44,TH,1619757881
310,kirgiz-miyaki,53.6324,54.7979,48.06,62,78,8.41,RU,1619757882
311,freeport,40.6576,-73.5832,68.0,88,90,10.36,US,1619757813
312,acarau,-2.8856,-40.12,76.3,86,100,7.7,BR,1619757882
313,pochutla,15.7432,-96.4661,80.6,78,40,5.46,MX,1619757883
314,twentynine palms,34.1356,-116.0542,78.8,9,1,5.75,US,1619757883
315,zaigrayevo,51.8336,108.2703,48.2,31,20,8.95,RU,1619757884
316,gigmoto,13.7796,124.39,84.07,63,72,2.33,PH,1619757884
317,bayir,37.2687,28.2167,57.2,58,0,5.75,TR,1619757884
318,tyulgan,52.3405,56.166,50.02,51,65,9.22,RU,1619757885
319,acapulco,16.8634,-99.8901,78.13,81,57,4.34,MX,1619757794
320,kupang,-10.1667,123.5833,86.27,64,22,7.81,ID,1619757885
321,cabedelo,-6.9811,-34.8339,73.4,100,40,5.75,BR,1619757886
322,high level,58.5169,-117.136,42.8,81,90,10.36,CA,1619757826
323,abbeville,50.1,1.8333,33.01,84,98,3.8,FR,1619757886
324,guerrero negro,27.9769,-114.0611,62.92,76,0,14.63,MX,1619757842
325,makakilo city,21.3469,-158.0858,80.6,54,90,9.22,US,1619757723
